harp_timestamp,odor1,odor2,poke
14467.80592,1,0,0
14468.807904,1,0,1
14469.806976,1,0,0
14470.808064,0,1,1
14471.80768,0,1,0
14472.80896,1,0,1
14473.8088,1,0,0
14474.809376,0,1,1
14475.809408,0,1,0
14476.810144,1,0,1
14477.809664,1,0,0
14478.810912,0,1,1
14479.810144,0,1,0
14480.810752,1,0,1
14481.810208,1,0,0
14482.81184,0,1,1
14483.811008,0,1,0
14484.811808,1,0,1
14485.811232,1,0,0
14486.81248,0,1,1
14487.812448,0,1,0
14488.8136,1,0,1
14489.812896,1,0,0
14490.813632,0,1,1
14491.81312,0,1,0
14492.813728,1,0,1
14493.813472,1,0,0
14494.81392,0,1,1
14495.813472,0,1,0
14496.815072,1,0,1
14497.813888,1,0,0
14498.815424,0,1,1
14499.814592,0,1,0
14500.815872,1,0,1
14501.815584,1,0,0
14502.817408,0,1,1
14503.816256,0,1,0
14504.817024,1,0,1
14505.816384,1,0,0
14506.818368,0,1,1
14507.817536,0,1,0
14508.819168,1,0,1
14509.818432,1,0,0
14510.819072,0,1,1
14511.818464,0,1,0
14512.819584,1,0,1
14513.819168,1,0,0
14514.819968,0,1,1
14515.819232,0,1,0
14516.81968,1,0,1
14517.819424,1,0,0
14518.820064,0,1,1
14519.819904,0,1,0
14520.82176,1,0,1
14521.821344,1,0,0
14522.822496,0,1,1
14523.82192,0,1,0
14524.822784,1,0,1
14525.822208,1,0,0
14526.823072,0,1,1
14527.823008,0,1,0
14528.824288,1,0,1
14529.822976,1,0,0
14530.823968,0,1,1
14531.823008,0,1,0
14532.824288,1,0,1
14533.824224,1,0,0
14534.825024,0,1,1
14535.82432,0,1,0
14536.825664,1,0,1
14537.824992,1,0,0
14538.826368,0,1,1
14539.825888,0,1,0
14540.827136,1,0,1
14541.826624,1,0,0
14542.827808,0,1,1
14543.827264,0,1,0
14544.828128,1,0,1
14545.828,1,0,0
14546.828576,0,1,1
14547.82816,0,1,0
14548.828768,1,0,1
14549.828544,1,0,0
14550.829216,0,1,1
14551.828544,0,1,0
14552.82944,1,0,1
14553.828768,1,0,0
14554.829728,0,1,1
14555.829696,0,1,0
14556.83024,1,0,1
14557.829664,1,0,0
14558.830592,0,1,1
14559.830112,0,1,0
14560.831168,1,0,1
14561.830272,1,0,0
14562.831616,0,1,1
14563.830752,0,1,0
14564.832032,1,0,1
14565.832096,1,0,0
14566.832544,0,1,1
14567.832064,0,1,0
14568.832768,1,0,1
14569.833184,1,0,0
14570.83456,0,1,1
14571.834112,0,1,0
14572.835168,1,0,1
14573.83504,1,0,0
14574.836768,0,1,1
14575.836576,0,1,0
14576.83856,1,0,1
14577.83808,1,0,0
14578.83904,0,1,1
14579.838048,0,1,0
14580.839616,1,0,1
14581.839104,1,0,0
14582.840288,0,1,1
14583.840416,0,1,0
14584.841536,1,0,1
14585.84048,1,0,0
