harp_timestamp,odor1,odor2,poke
15843.00512,1,0,0
15844.006912,1,0,1
15845.006272,1,0,0
15846.007552,0,1,1
15847.007296,0,1,0
15848.008512,1,0,1
15849.008192,1,0,0
15850.009024,0,1,1
15851.008992,0,1,0
15852.009952,1,0,1
15853.009376,1,0,0
15854.010144,0,1,1
15855.010144,0,1,0
15856.011456,1,0,1
15857.011392,1,0,0
15858.012256,0,1,1
15859.011744,0,1,0
15860.013376,1,0,1
15861.012992,1,0,0
15862.014144,0,1,1
15863.013664,0,1,0
15864.015104,1,0,1
15865.014624,1,0,0
15866.015808,0,1,1
15867.015328,0,1,0
15868.01616,1,0,1
15869.016,1,0,0
15870.016672,0,1,1
15871.01648,0,1,0
15872.017056,1,0,1
15873.017408,1,0,0
15874.0184,0,1,1
15875.017888,0,1,0
15876.018624,1,0,1
15877.018432,1,0,0
15878.019104,0,1,1
15879.019168,0,1,0
15880.019776,1,0,1
15881.019488,1,0,0
15882.0208,0,1,1
15883.020704,0,1,0
15884.022272,1,0,1
15885.021856,1,0,0
15886.02256,0,1,1
15887.02256,0,1,0
15888.02368,1,0,1
15889.023744,1,0,0
15890.025152,0,1,1
15891.025152,0,1,0
15892.026176,1,0,1
15893.026176,1,0,0
15894.027232,0,1,1
15895.026464,0,1,0
15896.02768,1,0,1
15897.027072,1,0,0
15898.029088,0,1,1
15899.028256,0,1,0
15900.029248,1,0,1
15901.029216,1,0,0
15902.029888,0,1,1
15903.029888,0,1,0
15904.031232,1,0,1
15905.030624,1,0,0
15906.03168,0,1,1
15907.032,0,1,0
15908.032768,1,0,1
15909.032544,1,0,0
15910.033632,0,1,1
15911.03328,0,1,0
15912.034848,1,0,1
15913.03472,1,0,0
15914.03568,0,1,1
15915.036128,0,1,0
15916.037344,1,0,1
15917.036896,1,0,0
15918.037504,0,1,1
15919.037472,0,1,0
15920.039264,1,0,1
15921.038944,1,0,0
15922.04112,0,1,1
15923.039904,0,1,0
15924.040768,1,0,1
15925.040896,1,0,0
15926.04224,0,1,1
15927.04176,0,1,0
15928.043008,1,0,1
15929.042016,1,0,0
15930.04352,0,1,1
15931.043136,0,1,0
15932.043904,1,0,1
15933.043264,1,0,0
15934.044704,0,1,1
15935.044192,0,1,0
15936.045728,1,0,1
15937.045472,1,0,0
15938.046784,0,1,1
15939.04624,0,1,0
15940.047744,1,0,1
15941.047648,1,0,0
15942.048736,0,1,1
15943.048096,0,1,0
15944.04912,1,0,1
15945.049024,1,0,0
15946.050048,0,1,1
15947.049632,0,1,0
15948.051072,1,0,1
15949.050624,1,0,0
15950.051904,0,1,1
