harp_timestamp,odor1,odor2,poke
14624.924768,1,0,0
14625.926176,1,0,1
14626.92592,1,0,0
14627.926528,0,1,1
14628.925952,0,1,0
14629.926816,1,0,1
14630.926048,1,0,0
14631.92688,0,1,1
14632.926048,0,1,0
14633.926848,1,0,1
14634.926112,1,0,0
14635.927392,0,1,1
14636.9272,0,1,0
14637.927808,1,0,1
14638.92768,1,0,0
14639.928288,0,1,1
14640.928288,0,1,0
14641.92976,1,0,1
14642.92912,1,0,0
14643.929728,0,1,1
14644.929696,0,1,0
14645.930976,1,0,1
14646.93024,1,0,0
14647.931456,0,1,1
14648.930912,0,1,0
14649.931424,1,0,1
14650.93168,1,0,0
14651.932512,0,1,1
14652.932256,0,1,0
14653.933376,1,0,1
14654.93328,1,0,0
14655.934624,0,1,1
14656.934208,0,1,0
14657.935424,1,0,1
14658.934848,1,0,0
14659.935808,0,1,1
