harp_timestamp,odor1,odor2,poke
13963.924544,1,0,0
13964.925696,1,0,1
13965.925152,1,0,0
13966.926272,0,1,1
13967.925152,0,1,0
13968.926112,1,0,1
13969.925376,1,0,0
13970.92592,0,1,1
13971.925408,0,1,0
13972.926368,1,0,1
13973.92544,1,0,0
13974.926112,0,1,1
13975.92544,0,1,0
13976.92608,1,0,1
13977.925408,1,0,0
13978.926368,0,1,1
13979.925504,0,1,0
13980.92624,1,0,1
13981.925536,1,0,0
13982.92624,0,1,1
13983.925536,0,1,0
13984.926688,1,0,1
13985.925568,1,0,0
13986.926368,0,1,1
13987.925568,0,1,0
13988.926464,1,0,1
13989.9256,1,0,0
13990.92608,0,1,1
13991.925568,0,1,0
13992.92608,1,0,1
13993.925632,1,0,0
13994.926272,0,1,1
13995.925632,0,1,0
13996.926336,1,0,1
13997.925632,1,0,0
13998.92656,0,1,1
13999.925632,0,1,0
14000.926368,1,0,1
14001.925664,1,0,0
14002.926176,0,1,1
14003.925728,0,1,0
14004.926176,1,0,1
14005.925664,1,0,0
14006.926176,0,1,1
14007.925728,0,1,0
14008.92672,1,0,1
14009.925856,1,0,0
14010.926656,0,1,1
