harp_timestamp,odor1,odor2,poke
13216.68448,1,0,0
13217.685888,1,0,1
13218.685056,1,0,0
13219.685728,0,1,1
13220.685088,0,1,0
13221.68624,1,0,1
13222.685376,1,0,0
13223.68624,0,1,1
13224.685408,0,1,0
13225.685952,1,0,1
13226.685472,1,0,0
13227.685984,0,1,1
13228.685472,0,1,0
13229.686144,1,0,1
13230.685472,1,0,0
13231.686176,0,1,1
13232.6856,0,1,0
13233.686336,1,0,1
13234.685568,1,0,0
13235.686464,0,1,1
13236.685632,0,1,0
13237.686592,1,0,1
13238.685632,1,0,0
13239.686176,0,1,1
13240.6856,0,1,0
13241.686368,1,0,1
13242.685664,1,0,0
13243.686336,0,1,1
13244.685792,0,1,0
13245.686496,1,0,1
13246.685888,1,0,0
13247.686592,0,1,1
13248.685856,0,1,0
13249.686336,1,0,1
13250.685888,1,0,0
13251.686592,0,1,1
13252.685952,0,1,0
13253.686624,1,0,1
13254.685984,1,0,0
13255.686688,0,1,1
