harp_timestamp,odor1,odor2,poke
14201.173824,1,0,0
14202.176416,1,0,1
14203.177632,1,0,0
14204.179808,0,1,1
14205.17888,0,1,0
14206.180192,1,0,1
14207.179424,1,0,0
14208.180896,0,1,1
14209.180672,0,1,0
14210.18176,1,0,1
14211.181792,1,0,0
14212.183104,0,1,1
14213.18272,0,1,0
14214.183264,1,0,1
14215.183904,1,0,0
14216.184384,0,1,1
14217.18432,0,1,0
14218.18592,1,0,1
14219.185568,1,0,0
14220.186368,0,1,1
14221.186336,0,1,0
14222.186656,1,0,1
14223.186432,1,0,0
14224.187968,0,1,1
14225.188224,0,1,0
14226.188672,1,0,1
14227.188768,1,0,0
14228.1904,0,1,1
14229.189568,0,1,0
14230.190784,1,0,1
14231.190752,1,0,0
14232.191616,0,1,1
14233.191552,0,1,0
14234.192448,1,0,1
14235.191808,1,0,0
14236.192992,0,1,1
14237.19296,0,1,0
14238.193216,1,0,1
14239.193472,1,0,0
14240.194368,0,1,1
14241.193664,0,1,0
14242.194752,1,0,1
14243.194624,1,0,0
14244.194944,0,1,1
14245.19456,0,1,0
14246.196032,1,0,1
14247.194464,1,0,0
14248.196416,0,1,1
14249.19568,0,1,0
14250.196576,1,0,1
14251.196384,1,0,0
14252.196384,0,1,1
14253.196768,0,1,0
14254.197568,1,0,1
14255.197504,1,0,0
14256.199392,0,1,1
14257.199264,0,1,0
14258.201472,1,0,1
14259.199872,1,0,0
14260.206432,0,1,1
14261.2024,0,1,0
14262.203296,1,0,1
14263.204288,1,0,0
14264.20624,0,1,1
14265.205088,0,1,0
14266.20752,1,0,1
14267.205888,1,0,0
14268.207648,0,1,1
14269.207104,0,1,0
14270.20848,1,0,1
14271.207584,1,0,0
14272.2096,0,1,1
14273.208864,0,1,0
14274.208896,1,0,1
14275.209024,1,0,0
14276.209408,0,1,1
14277.2096,0,1,0
14278.210816,1,0,1
14279.210528,1,0,0
14280.211296,0,1,1
14281.211232,0,1,0
14282.214208,1,0,1
14283.212704,1,0,0
14284.213888,0,1,1
14285.21424,0,1,0
14286.215424,1,0,1
14287.215104,1,0,0
14288.216832,0,1,1
14289.215392,0,1,0
14290.216768,1,0,1
14291.215744,1,0,0
14292.217568,0,1,1
14293.21712,0,1,0
14294.218208,1,0,1
14295.218144,1,0,0
14296.218656,0,1,1
14297.218528,0,1,0
14298.22032,1,0,1
14299.220032,1,0,0
14300.221568,0,1,1
14301.220576,0,1,0
14302.22144,1,0,1
14303.222048,1,0,0
14304.223264,0,1,1
14305.22368,0,1,0
14306.2248,1,0,1
14307.224512,1,0,0
14308.2264,0,1,1
14309.2264,0,1,0
14310.227776,1,0,1
14311.227456,1,0,0
14312.230016,0,1,1
14313.22864,0,1,0
14314.229248,1,0,1
14315.230048,1,0,0
14316.229472,0,1,1
14317.230752,0,1,0
14318.23232,1,0,1
14319.231936,1,0,0
14320.233824,0,1,1
14321.23264,0,1,0
14322.233824,1,0,1
14323.23344,1,0,0
14324.234944,0,1,1
14325.233472,0,1,0
14326.235552,1,0,1
14327.236096,1,0,0
14328.236096,0,1,1
14329.236128,0,1,0
14330.238464,1,0,1
14331.237888,1,0,0
14332.240864,0,1,1
14333.240128,0,1,0
14334.241088,1,0,1
14335.241536,1,0,0
14336.241696,0,1,1
14337.24144,0,1,0
14338.242592,1,0,1
14339.242208,1,0,0
14340.243136,0,1,1
14341.242688,0,1,0
14342.243648,1,0,1
14343.244,1,0,0
14344.245376,0,1,1
14345.245824,0,1,0
14346.247616,1,0,1
14347.246528,1,0,0
14348.247488,0,1,1
14349.246912,0,1,0
14350.249216,1,0,1
14351.248704,1,0,0
14352.250048,0,1,1
14353.250688,0,1,0
14354.251168,1,0,1
14355.250816,1,0,0
14356.251552,0,1,1
14357.25152,0,1,0
14358.252832,1,0,1
14359.252736,1,0,0
14360.2552,0,1,1
14361.2536,0,1,0
