harp_timestamp,odor1,odor2,poke
14365.525856,1,0,0
14366.528416,1,0,1
14367.528608,1,0,0
14368.529664,0,1,1
14369.529824,0,1,0
14370.530592,1,0,1
14371.53072,1,0,0
14372.531328,0,1,1
14373.531168,0,1,0
14374.531936,1,0,1
14375.531552,1,0,0
14376.532416,0,1,1
14377.532352,0,1,0
14378.533536,1,0,1
14379.533056,1,0,0
14380.533984,0,1,1
14381.533952,0,1,0
14382.534464,1,0,1
14383.5344,1,0,0
14384.536032,0,1,1
14385.536384,0,1,0
14386.5376,1,0,1
14387.536544,1,0,0
14388.53776,0,1,1
14389.5376,0,1,0
14390.538816,1,0,1
14391.538016,1,0,0
14392.539392,0,1,1
